08-06-2023 | R$3200.00 | R$3200.00 | R$3411.00 | R$3411.00 |  R$211.00 | 106.59%
08-06-2023 | R$3200.00 | R$240000.00 | R$3411.00 | R$255825.00 |  R$15825.00 | 106.59%
08-06-2023 | R$3200.00 | R$243200.00 | R$3411.00 | R$259236.00 |  R$16036.00 | 106.59%
08-06-2023 | R$3200.00 | R$246400.00 | R$3411.00 | R$262647.00 |  R$16247.00 | 106.59%
08-06-2023 | R$3200.00 | R$249600.00 | R$3411.00 | R$266058.00 |  R$16458.00 | 106.59%
08-06-2023 | R$3200.00 | R$252800.00 | R$3411.00 | R$269469.00 |  R$16669.00 | 106.59%
08-06-2023 | R$3200.00 | R$256000.00 | R$3411.00 | R$272880.00 |  R$16880.00 | 106.59%
08-06-2023 | R$3200.00 | R$259200.00 | R$3411.00 | R$276291.00 |  R$17091.00 | 106.59%
08-06-2023 | R$3200.00 | R$262400.00 | R$3411.00 | R$279702.00 |  R$17302.00 | 106.59%
08-06-2023 | R$3200.00 | R$265600.00 | R$3411.00 | R$283113.00 |  R$17513.00 | 106.59%
08-06-2023 | R$3200.00 | R$268800.00 | R$3411.00 | R$286524.00 |  R$17724.00 | 106.59%
08-06-2023 | R$3200.00 | R$272000.00 | R$3411.00 | R$289935.00 |  R$17935.00 | 106.59%
08-06-2023 | R$3200.00 | R$275200.00 | R$3411.00 | R$293346.00 |  R$18146.00 | 106.59%
08-06-2023 | R$3200.00 | R$278400.00 | R$3411.00 | R$296757.00 |  R$18357.00 | 106.59%
08-06-2023 | R$3200.00 | R$281600.00 | R$3411.00 | R$300168.00 |  R$18568.00 | 106.59%
08-06-2023 | R$3200.00 | R$284800.00 | R$3411.00 | R$303579.00 |  R$18779.00 | 106.59%
08-06-2023 | R$3200.00 | R$288000.00 | R$3411.00 | R$306990.00 |  R$18990.00 | 106.59%
08-06-2023 | R$3200.00 | R$291200.00 | R$3411.00 | R$310401.00 |  R$19201.00 | 106.59%
08-06-2023 | R$3200.00 | R$294400.00 | R$3411.00 | R$313812.00 |  R$19412.00 | 106.59%
08-06-2023 | R$3200.00 | R$297600.00 | R$3411.00 | R$317223.00 |  R$19623.00 | 106.59%
08-06-2023 | R$3200.00 | R$300800.00 | R$3411.00 | R$320634.00 |  R$19834.00 | 106.59%
08-06-2023 | R$3200.00 | R$304000.00 | R$3411.00 | R$324045.00 |  R$20045.00 | 106.59%
08-06-2023 | R$3200.00 | R$307200.00 | R$3411.00 | R$327456.00 |  R$20256.00 | 106.59%
08-06-2023 | R$3200.00 | R$310400.00 | R$3411.00 | R$330867.00 |  R$20467.00 | 106.59%
08-06-2023 | R$3200.00 | R$313600.00 | R$3411.00 | R$334278.00 |  R$20678.00 | 106.59%
08-06-2023 | R$3200.00 | R$316800.00 | R$3411.00 | R$337689.00 |  R$20889.00 | 106.59%
08-06-2023 | R$3200.00 | R$320000.00 | R$3411.00 | R$341100.00 |  R$21100.00 | 106.59%
08-06-2023 | R$3200.00 | R$323200.00 | R$3411.00 | R$344511.00 |  R$21311.00 | 106.59%
08-06-2023 | R$3200.00 | R$326400.00 | R$3411.00 | R$347922.00 |  R$21522.00 | 106.59%
08-06-2023 | R$3200.00 | R$329600.00 | R$3411.00 | R$351333.00 |  R$21733.00 | 106.59%
08-06-2023 | R$3200.00 | R$332800.00 | R$3411.00 | R$354744.00 |  R$21944.00 | 106.59%
08-06-2023 | R$3200.00 | R$336000.00 | R$3411.00 | R$358155.00 |  R$22155.00 | 106.59%
08-06-2023 | R$3200.00 | R$339200.00 | R$3411.00 | R$361566.00 |  R$22366.00 | 106.59%
08-06-2023 | R$3200.00 | R$342400.00 | R$3411.00 | R$364977.00 |  R$22577.00 | 106.59%
08-06-2023 | R$3200.00 | R$345600.00 | R$3411.00 | R$368388.00 |  R$22788.00 | 106.59%
08-06-2023 | R$3200.00 | R$348800.00 | R$3411.00 | R$371799.00 |  R$22999.00 | 106.59%
08-06-2023 | R$3200.00 | R$352000.00 | R$3411.00 | R$375210.00 |  R$23210.00 | 106.59%
08-06-2023 | R$3200.00 | R$355200.00 | R$3411.00 | R$378621.00 |  R$23421.00 | 106.59%
08-06-2023 | R$3200.00 | R$358400.00 | R$3411.00 | R$382032.00 |  R$23632.00 | 106.59%
08-06-2023 | R$3200.00 | R$361600.00 | R$3411.00 | R$385443.00 |  R$23843.00 | 106.59%
08-06-2023 | R$3200.00 | R$364800.00 | R$3411.00 | R$388854.00 |  R$24054.00 | 106.59%
08-06-2023 | R$3200.00 | R$368000.00 | R$3411.00 | R$392265.00 |  R$24265.00 | 106.59%
08-06-2023 | R$3200.00 | R$371200.00 | R$3411.00 | R$395676.00 |  R$24476.00 | 106.59%
08-06-2023 | R$3200.00 | R$374400.00 | R$3411.00 | R$399087.00 |  R$24687.00 | 106.59%
08-06-2023 | R$3200.00 | R$377600.00 | R$3411.00 | R$402498.00 |  R$24898.00 | 106.59%
08-06-2023 | R$3200.00 | R$380800.00 | R$3411.00 | R$405909.00 |  R$25109.00 | 106.59%
08-06-2023 | R$3200.00 | R$384000.00 | R$3411.00 | R$409320.00 |  R$25320.00 | 106.59%
08-06-2023 | R$3200.00 | R$387200.00 | R$3411.00 | R$412731.00 |  R$25531.00 | 106.59%
08-06-2023 | R$3200.00 | R$390400.00 | R$3411.00 | R$416142.00 |  R$25742.00 | 106.59%
08-06-2023 | R$3200.00 | R$393600.00 | R$3411.00 | R$419553.00 |  R$25953.00 | 106.59%
08-06-2023 | R$3200.00 | R$396800.00 | R$3411.00 | R$422964.00 |  R$26164.00 | 106.59%
08-06-2023 | R$3200.00 | R$400000.00 | R$3411.00 | R$426375.00 |  R$26375.00 | 106.59%
08-06-2023 | R$3200.00 | R$403200.00 | R$3411.00 | R$429786.00 |  R$26586.00 | 106.59%
08-06-2023 | R$3200.00 | R$406400.00 | R$3411.00 | R$433197.00 |  R$26797.00 | 106.59%
08-06-2023 | R$3200.00 | R$409600.00 | R$3411.00 | R$436608.00 |  R$27008.00 | 106.59%
08-06-2023 | R$3200.00 | R$412800.00 | R$3411.00 | R$440019.00 |  R$27219.00 | 106.59%
08-06-2023 | R$3200.00 | R$416000.00 | R$3411.00 | R$443430.00 |  R$27430.00 | 106.59%
08-06-2023 | R$3200.00 | R$419200.00 | R$3411.00 | R$446841.00 |  R$27641.00 | 106.59%
08-06-2023 | R$3200.00 | R$422400.00 | R$3411.00 | R$450252.00 |  R$27852.00 | 106.59%
08-06-2023 | R$3200.00 | R$425600.00 | R$3411.00 | R$453663.00 |  R$28063.00 | 106.59%
08-06-2023 | R$3200.00 | R$428800.00 | R$3411.00 | R$457074.00 |  R$28274.00 | 106.59%
08-06-2023 | R$3200.00 | R$432000.00 | R$3411.00 | R$460485.00 |  R$28485.00 | 106.59%
08-06-2023 | R$3200.00 | R$435200.00 | R$3411.00 | R$463896.00 |  R$28696.00 | 106.59%
08-06-2023 | R$3200.00 | R$438400.00 | R$3411.00 | R$467307.00 |  R$28907.00 | 106.59%
08-06-2023 | R$3200.00 | R$441600.00 | R$3411.00 | R$470718.00 |  R$29118.00 | 106.59%
08-06-2023 | R$3200.00 | R$444800.00 | R$3411.00 | R$474129.00 |  R$29329.00 | 106.59%
08-06-2023 | R$3200.00 | R$448000.00 | R$3411.00 | R$477540.00 |  R$29540.00 | 106.59%
08-06-2023 | R$3200.00 | R$451200.00 | R$3411.00 | R$480951.00 |  R$29751.00 | 106.59%
08-06-2023 | R$3200.00 | R$454400.00 | R$3411.00 | R$484362.00 |  R$29962.00 | 106.59%
08-06-2023 | R$3200.00 | R$457600.00 | R$3411.00 | R$487773.00 |  R$30173.00 | 106.59%
08-06-2023 | R$3200.00 | R$460800.00 | R$3411.00 | R$491184.00 |  R$30384.00 | 106.59%
08-06-2023 | R$3200.00 | R$464000.00 | R$3411.00 | R$494595.00 |  R$30595.00 | 106.59%
08-06-2023 | R$3200.00 | R$467200.00 | R$3411.00 | R$498006.00 |  R$30806.00 | 106.59%
08-06-2023 | R$3200.00 | R$470400.00 | R$3411.00 | R$501417.00 |  R$31017.00 | 106.59%
08-06-2023 | R$3200.00 | R$473600.00 | R$3411.00 | R$504828.00 |  R$31228.00 | 106.59%
08-06-2023 | R$3200.00 | R$476800.00 | R$3411.00 | R$508239.00 |  R$31439.00 | 106.59%
08-06-2023 | R$3200.00 | R$480000.00 | R$3411.00 | R$511650.00 |  R$31650.00 | 106.59%
08-06-2023 | R$3200.00 | R$483200.00 | R$3411.00 | R$515061.00 |  R$31861.00 | 106.59%
08-06-2023 | R$3200.00 | R$486400.00 | R$3411.00 | R$518472.00 |  R$32072.00 | 106.59%
08-06-2023 | R$3200.00 | R$489600.00 | R$3411.00 | R$521883.00 |  R$32283.00 | 106.59%
08-06-2023 | R$3200.00 | R$492800.00 | R$3411.00 | R$525294.00 |  R$32494.00 | 106.59%
08-06-2023 | R$3200.00 | R$496000.00 | R$3411.00 | R$528705.00 |  R$32705.00 | 106.59%
08-06-2023 | R$3200.00 | R$499200.00 | R$3411.00 | R$532116.00 |  R$32916.00 | 106.59%
08-06-2023 | R$3200.00 | R$502400.00 | R$3411.00 | R$535527.00 |  R$33127.00 | 106.59%
08-06-2023 | R$3200.00 | R$505600.00 | R$3411.00 | R$538938.00 |  R$33338.00 | 106.59%
08-06-2023 | R$3200.00 | R$508800.00 | R$3411.00 | R$542349.00 |  R$33549.00 | 106.59%
08-06-2023 | R$3200.00 | R$512000.00 | R$3411.00 | R$545760.00 |  R$33760.00 | 106.59%
08-06-2023 | R$3200.00 | R$515200.00 | R$3411.00 | R$549171.00 |  R$33971.00 | 106.59%
08-06-2023 | R$3200.00 | R$518400.00 | R$3411.00 | R$552582.00 |  R$34182.00 | 106.59%
08-06-2023 | R$3200.00 | R$521600.00 | R$3411.00 | R$555993.00 |  R$34393.00 | 106.59%
08-06-2023 | R$3200.00 | R$524800.00 | R$3411.00 | R$559404.00 |  R$34604.00 | 106.59%
08-06-2023 | R$3200.00 | R$528000.00 | R$3411.00 | R$562815.00 |  R$34815.00 | 106.59%
08-06-2023 | R$3200.00 | R$531200.00 | R$3411.00 | R$566226.00 |  R$35026.00 | 106.59%
08-06-2023 | R$3200.00 | R$534400.00 | R$3411.00 | R$569637.00 |  R$35237.00 | 106.59%
08-06-2023 | R$3200.00 | R$537600.00 | R$3411.00 | R$573048.00 |  R$35448.00 | 106.59%
08-06-2023 | R$3200.00 | R$540800.00 | R$3411.00 | R$576459.00 |  R$35659.00 | 106.59%
08-06-2023 | R$3200.00 | R$544000.00 | R$3411.00 | R$579870.00 |  R$35870.00 | 106.59%
08-06-2023 | R$3200.00 | R$547200.00 | R$3411.00 | R$583281.00 |  R$36081.00 | 106.59%
08-06-2023 | R$3200.00 | R$550400.00 | R$3411.00 | R$586692.00 |  R$36292.00 | 106.59%
08-06-2023 | R$3200.00 | R$553600.00 | R$3411.00 | R$590103.00 |  R$36503.00 | 106.59%
08-06-2023 | R$3200.00 | R$556800.00 | R$3411.00 | R$593514.00 |  R$36714.00 | 106.59%
08-06-2023 | R$3200.00 | R$560000.00 | R$3411.00 | R$596925.00 |  R$36925.00 | 106.59%
08-06-2023 | R$3200.00 | R$563200.00 | R$3411.00 | R$600336.00 |  R$37136.00 | 106.59%
08-06-2023 | R$3200.00 | R$566400.00 | R$3411.00 | R$603747.00 |  R$37347.00 | 106.59%
08-06-2023 | R$3200.00 | R$569600.00 | R$3411.00 | R$607158.00 |  R$37558.00 | 106.59%
08-06-2023 | R$3200.00 | R$572800.00 | R$3411.00 | R$610569.00 |  R$37769.00 | 106.59%
08-06-2023 | R$3200.00 | R$576000.00 | R$3411.00 | R$613980.00 |  R$37980.00 | 106.59%
08-06-2023 | R$3200.00 | R$579200.00 | R$3411.00 | R$617391.00 |  R$38191.00 | 106.59%
08-06-2023 | R$3200.00 | R$582400.00 | R$3411.00 | R$620802.00 |  R$38402.00 | 106.59%
08-06-2023 | R$3200.00 | R$585600.00 | R$3411.00 | R$624213.00 |  R$38613.00 | 106.59%
08-06-2023 | R$3200.00 | R$588800.00 | R$3411.00 | R$627624.00 |  R$38824.00 | 106.59%
08-06-2023 | R$3200.00 | R$592000.00 | R$3411.00 | R$631035.00 |  R$39035.00 | 106.59%
08-06-2023 | R$3200.00 | R$595200.00 | R$3411.00 | R$634446.00 |  R$39246.00 | 106.59%
08-06-2023 | R$3200.00 | R$598400.00 | R$3411.00 | R$637857.00 |  R$39457.00 | 106.59%
08-06-2023 | R$3200.00 | R$601600.00 | R$3411.00 | R$641268.00 |  R$39668.00 | 106.59%
08-06-2023 | R$3200.00 | R$604800.00 | R$3411.00 | R$644679.00 |  R$39879.00 | 106.59%
08-06-2023 | R$3200.00 | R$608000.00 | R$3411.00 | R$648090.00 |  R$40090.00 | 106.59%
08-06-2023 | R$3200.00 | R$611200.00 | R$3411.00 | R$651501.00 |  R$40301.00 | 106.59%
08-06-2023 | R$3200.00 | R$614400.00 | R$3411.00 | R$654912.00 |  R$40512.00 | 106.59%
08-06-2023 | R$3200.00 | R$617600.00 | R$3411.00 | R$658323.00 |  R$40723.00 | 106.59%
08-06-2023 | R$3200.00 | R$620800.00 | R$3411.00 | R$661734.00 |  R$40934.00 | 106.59%
08-06-2023 | R$3200.00 | R$624000.00 | R$3411.00 | R$665145.00 |  R$41145.00 | 106.59%
08-06-2023 | R$3200.00 | R$627200.00 | R$3411.00 | R$668556.00 |  R$41356.00 | 106.59%
08-06-2023 | R$3200.00 | R$630400.00 | R$3411.00 | R$671967.00 |  R$41567.00 | 106.59%
08-06-2023 | R$3200.00 | R$633600.00 | R$3411.00 | R$675378.00 |  R$41778.00 | 106.59%
08-06-2023 | R$3200.00 | R$636800.00 | R$3411.00 | R$678789.00 |  R$41989.00 | 106.59%
08-06-2023 | R$3200.00 | R$640000.00 | R$3411.00 | R$682200.00 |  R$42200.00 | 106.59%
08-06-2023 | R$3200.00 | R$643200.00 | R$3411.00 | R$685611.00 |  R$42411.00 | 106.59%
08-06-2023 | R$3200.00 | R$646400.00 | R$3411.00 | R$689022.00 |  R$42622.00 | 106.59%
08-06-2023 | R$3200.00 | R$649600.00 | R$3411.00 | R$692433.00 |  R$42833.00 | 106.59%
08-06-2023 | R$3200.00 | R$652800.00 | R$3411.00 | R$695844.00 |  R$43044.00 | 106.59%
08-06-2023 | R$3200.00 | R$656000.00 | R$3411.00 | R$699255.00 |  R$43255.00 | 106.59%
08-06-2023 | R$3200.00 | R$659200.00 | R$3411.00 | R$702666.00 |  R$43466.00 | 106.59%
08-06-2023 | R$3200.00 | R$662400.00 | R$3411.00 | R$706077.00 |  R$43677.00 | 106.59%
08-06-2023 | R$3200.00 | R$665600.00 | R$3411.00 | R$709488.00 |  R$43888.00 | 106.59%
08-06-2023 | R$3200.00 | R$668800.00 | R$3411.00 | R$712899.00 |  R$44099.00 | 106.59%
08-06-2023 | R$3200.00 | R$672000.00 | R$3411.00 | R$716310.00 |  R$44310.00 | 106.59%
08-06-2023 | R$3200.00 | R$675200.00 | R$3411.00 | R$719721.00 |  R$44521.00 | 106.59%
08-06-2023 | R$3200.00 | R$678400.00 | R$3411.00 | R$723132.00 |  R$44732.00 | 106.59%
08-06-2023 | R$3200.00 | R$681600.00 | R$3411.00 | R$726543.00 |  R$44943.00 | 106.59%
08-06-2023 | R$3200.00 | R$684800.00 | R$3411.00 | R$729954.00 |  R$45154.00 | 106.59%
08-06-2023 | R$3200.00 | R$688000.00 | R$3411.00 | R$733365.00 |  R$45365.00 | 106.59%
08-06-2023 | R$3200.00 | R$691200.00 | R$3411.00 | R$736776.00 |  R$45576.00 | 106.59%
08-06-2023 | R$3200.00 | R$694400.00 | R$3411.00 | R$740187.00 |  R$45787.00 | 106.59%
08-06-2023 | R$3200.00 | R$697600.00 | R$3411.00 | R$743598.00 |  R$45998.00 | 106.59%
08-06-2023 | R$3200.00 | R$700800.00 | R$3411.00 | R$747009.00 |  R$46209.00 | 106.59%
08-06-2023 | R$3200.00 | R$704000.00 | R$3411.00 | R$750420.00 |  R$46420.00 | 106.59%
08-06-2023 | R$3200.00 | R$707200.00 | R$3411.00 | R$753831.00 |  R$46631.00 | 106.59%
08-06-2023 | R$3200.00 | R$710400.00 | R$3411.00 | R$757242.00 |  R$46842.00 | 106.59%
08-06-2023 | R$3200.00 | R$713600.00 | R$3411.00 | R$760653.00 |  R$47053.00 | 106.59%
08-06-2023 | R$3200.00 | R$716800.00 | R$3411.00 | R$764064.00 |  R$47264.00 | 106.59%
08-06-2023 | R$3200.00 | R$720000.00 | R$3411.00 | R$767475.00 |  R$47475.00 | 106.59%
08-06-2023 | R$3200.00 | R$723200.00 | R$3411.00 | R$770886.00 |  R$47686.00 | 106.59%
08-06-2023 | R$3200.00 | R$726400.00 | R$3411.00 | R$774297.00 |  R$47897.00 | 106.59%
08-06-2023 | R$3200.00 | R$729600.00 | R$3411.00 | R$777708.00 |  R$48108.00 | 106.59%
08-06-2023 | R$3200.00 | R$732800.00 | R$3411.00 | R$781119.00 |  R$48319.00 | 106.59%
08-06-2023 | R$3200.00 | R$736000.00 | R$3411.00 | R$784530.00 |  R$48530.00 | 106.59%
08-06-2023 | R$3200.00 | R$739200.00 | R$3411.00 | R$787941.00 |  R$48741.00 | 106.59%
08-06-2023 | R$3200.00 | R$742400.00 | R$3411.00 | R$791352.00 |  R$48952.00 | 106.59%
08-06-2023 | R$3200.00 | R$745600.00 | R$3411.00 | R$794763.00 |  R$49163.00 | 106.59%
08-06-2023 | R$3200.00 | R$748800.00 | R$3411.00 | R$798174.00 |  R$49374.00 | 106.59%
08-06-2023 | R$3200.00 | R$752000.00 | R$3411.00 | R$801585.00 |  R$49585.00 | 106.59%
08-06-2023 | R$3200.00 | R$755200.00 | R$3411.00 | R$804996.00 |  R$49796.00 | 106.59%
08-06-2023 | R$3200.00 | R$758400.00 | R$3411.00 | R$808407.00 |  R$50007.00 | 106.59%
08-06-2023 | R$3200.00 | R$761600.00 | R$3411.00 | R$811818.00 |  R$50218.00 | 106.59%
08-06-2023 | R$3200.00 | R$764800.00 | R$3411.00 | R$815229.00 |  R$50429.00 | 106.59%
08-06-2023 | R$3200.00 | R$768000.00 | R$3411.00 | R$818640.00 |  R$50640.00 | 106.59%
08-06-2023 | R$3200.00 | R$771200.00 | R$3411.00 | R$822051.00 |  R$50851.00 | 106.59%
08-06-2023 | R$3200.00 | R$774400.00 | R$3411.00 | R$825462.00 |  R$51062.00 | 106.59%
08-06-2023 | R$3200.00 | R$777600.00 | R$3411.00 | R$828873.00 |  R$51273.00 | 106.59%
08-06-2023 | R$3200.00 | R$780800.00 | R$3411.00 | R$832284.00 |  R$51484.00 | 106.59%
08-06-2023 | R$3200.00 | R$784000.00 | R$3411.00 | R$835695.00 |  R$51695.00 | 106.59%
08-06-2023 | R$3200.00 | R$787200.00 | R$3411.00 | R$839106.00 |  R$51906.00 | 106.59%
08-06-2023 | R$3200.00 | R$790400.00 | R$3411.00 | R$842517.00 |  R$52117.00 | 106.59%
08-06-2023 | R$3200.00 | R$793600.00 | R$3411.00 | R$845928.00 |  R$52328.00 | 106.59%
08-06-2023 | R$3200.00 | R$796800.00 | R$3411.00 | R$849339.00 |  R$52539.00 | 106.59%
08-06-2023 | R$3200.00 | R$800000.00 | R$3411.00 | R$852750.00 |  R$52750.00 | 106.59%
08-06-2023 | R$3200.00 | R$803200.00 | R$3411.00 | R$856161.00 |  R$52961.00 | 106.59%
08-06-2023 | R$3200.00 | R$806400.00 | R$3411.00 | R$859572.00 |  R$53172.00 | 106.59%
08-06-2023 | R$3200.00 | R$809600.00 | R$3411.00 | R$862983.00 |  R$53383.00 | 106.59%
